ProductID,ProductName,CategoryID,SellerID,Price,Stock,SizeInMeasure,Unit,Size,Description,Rating,CreatedDate,LastUpdated,Dimensions,Weight,Color,Material,Warranty,IsReturnable,Discount,Tax,Barcode,Brand,SupplierID,ManufactureDate,ExpiryDate,CountryOfOrigin,Tags,EnergyRating,SpecialFeatures
P001,Apple,C015,S018,406.09,189,0.5,Piece,L,Fresh and organic apple,3.8,01-01-2023,01-01-2025,10x10x10 cm,7.75,Red,Metal,6 months,Yes,9.91,1.95,BC880011,BrandA,SUP002,01-01-2022,31-12-2025,India,"Organic, Fresh",,Noise-cancelling
P002,Banana,C011,S017,668.64,42,,Pack,L,Ripe and sweet banana,3.5,02-01-2023,02-01-2025,20x15x5 cm,7.27,Green,Wood,1 year,No,11.14,9.95,BC522010,BrandB,SUP004,02-01-2022,,China,High-tech,5-star,Noise-cancelling
P003,Milk,C019,S001,136.86,34,0.5,Piece,S,High-quality milk,3.1,03-01-2023,03-01-2025,20x15x5 cm,4.95,Black,Fabric,2 years,No,15.87,3.34,BC332680,BrandE,SUP007,03-01-2022,,Japan,"Electronics, Durable",,
P004,T-Shirt,C014,S019,245.65,284,,Litre,M,Comfortable and stylish T-Shirt,4.2,04-01-2023,04-01-2025,100x50x50 cm,1.22,Green,Metal,,No,19.92,8.62,BC218603,BrandD,SUP007,04-01-2022,31-12-2025,Japan,"Comfortable, Stylish",,Noise-cancelling
P005,Laptop,C014,S018,777.21,128,0.5,Kg,XL,Latest model laptop,4.7,05-01-2023,05-01-2025,100x50x50 cm,4.19,White,Wood,1 year,Yes,18.91,3.56,BC889395,BrandC,SUP009,05-01-2022,31-12-2025,China,Eco-friendly,5-star,Rechargeable
P006,Chair,C016,S010,402.23,168,1,Kg,M,Ergonomic and durable chair,4,06-01-2023,06-01-2025,10x10x10 cm,1.27,White,Fabric,1 year,No,26.86,4.31,BC933689,BrandC,SUP010,06-01-2022,31-12-2025,India,"Electronics, Durable",4-star,Rechargeable
P007,Novel,C010,S009,19.69,203,0.5,Pack,,Bestselling novel,3.3,07-01-2023,07-01-2025,10x10x10 cm,5.04,Black,Metal,,No,27.84,1.02,BC107615,BrandA,SUP001,07-01-2022,31-12-2025,USA,"Electronics, Durable",3-star,Foldable
P008,Action Figure,C009,S017,48.49,476,0.5,Piece,L,Collectible action figure,3.3,08-01-2023,08-01-2025,50x30x10 cm,1.58,Red,Metal,2 years,Yes,3.47,8.38,BC965115,BrandB,SUP002,08-01-2022,31-12-2025,China,"Comfortable, Stylish",,Waterproof
P009,Cricket Bat,C018,S003,633.61,464,2,Kg,,Professional cricket bat,4.4,09-01-2023,09-01-2025,50x30x10 cm,5.45,White,Wood,1 year,No,22.63,4.49,BC544558,BrandC,SUP001,09-01-2022,31-12-2025,India,High-tech,5-star,Bluetooth-enabled
P010,Lipstick,C004,S010,373.62,156,1,Litre,L,Long-lasting lipstick,3.5,10-01-2023,10-01-2025,20x15x5 cm,6.76,Black,Fabric,6 months,No,26.11,6.05,BC868973,BrandB,SUP009,10-01-2022,31-12-2025,China,"Comfortable, Stylish",5-star,Rechargeable
P011,Car Tire,C020,S013,100.13,230,2,Kg,,Durable car tire,4.1,11-01-2023,11-01-2025,10x10x10 cm,7.33,Black,Metal,,Yes,4.8,1.83,BC760106,BrandD,SUP008,11-01-2022,,USA,"Electronics, Durable",3-star,Waterproof
P012,Gold Necklace,C019,S001,278.02,433,,Litre,S,Elegant gold necklace,4.7,12-01-2023,12-01-2025,20x15x5 cm,3.01,Green,Plastic,2 years,No,29.97,8.15,BC967672,BrandC,SUP007,12-01-2022,31-12-2025,USA,High-tech,3-star,Foldable
P013,Gardening Tools,C013,S012,854.6,219,,Litre,L,Complete gardening tools set,4.6,13-01-2023,13-01-2025,50x30x10 cm,9.23,White,Metal,,No,24.76,8.45,BC113986,BrandD,SUP008,13-01-2022,,Japan,Eco-friendly,,Bluetooth-enabled
P014,Dog Food,C019,S010,872.24,398,0.5,Kg,S,Healthy and nutritious dog food,4.3,14-01-2023,14-01-2025,20x15x5 cm,4.39,Black,Fabric,6 months,No,10.06,4.1,BC272708,BrandE,SUP001,14-01-2022,,India,"Electronics, Durable",3-star,Rechargeable
P015,Notebook,C006,S004,330.8,238,2,Pack,,Eco-friendly notebook,3.8,15-01-2023,15-01-2025,100x50x50 cm,0.61,White,Plastic,2 years,Yes,24.21,6.32,BC946215,BrandC,SUP010,15-01-2022,,USA,Eco-friendly,5-star,Noise-cancelling
P016,Guitar,C007,S008,828.09,129,,Pack,M,Acoustic guitar with great sound quality,3.3,16-01-2023,16-01-2025,100x50x50 cm,0.83,Green,Fabric,6 months,No,10.63,7.73,BC669704,BrandA,SUP005,16-01-2022,,Germany,Eco-friendly,4-star,
P017,Gaming Console,C007,S004,747.02,448,0.5,Pack,,Next-gen gaming console,3.6,17-01-2023,17-01-2025,50x30x10 cm,2.65,Red,Fabric,6 months,Yes,24.41,4.99,BC437672,BrandA,SUP008,17-01-2022,31-12-2025,India,Eco-friendly,,
P018,First Aid Kit,C003,S015,120.17,239,2,Litre,M,Comprehensive first aid kit,3.1,18-01-2023,18-01-2025,20x15x5 cm,3.48,Green,Plastic,1 year,Yes,1.46,1.15,BC722256,BrandD,SUP002,18-01-2022,,Germany,High-tech,,Bluetooth-enabled
P019,Microwave,C004,S002,128.33,418,2,Piece,XL,Compact microwave oven,4.6,19-01-2023,19-01-2025,100x50x50 cm,3.75,Blue,Fabric,,Yes,5.89,9.96,BC236594,BrandB,SUP004,19-01-2022,31-12-2025,USA,"Electronics, Durable",3-star,Foldable
P020,Rice Cooker,C020,S003,408.05,465,,Pack,XL,Automatic rice cooker,3.2,20-01-2023,20-01-2025,20x15x5 cm,5.42,Red,Wood,,Yes,15.75,0.97,BC296353,BrandD,SUP009,20-01-2022,31-12-2025,India,"Electronics, Durable",4-star,
P021,Jeans,C011,S001,622.67,235,0.5,Piece,S,Stylish denim jeans,3.4,21-01-2023,21-01-2025,20x15x5 cm,6.2,Green,Plastic,,Yes,17.03,8.48,BC897142,BrandE,SUP004,21-01-2022,31-12-2025,USA,"Comfortable, Stylish",3-star,
P022,Shoes,C015,S007,246.41,413,,Piece,S,Comfortable running shoes,4,22-01-2023,22-01-2025,50x30x10 cm,3.02,Black,Plastic,6 months,No,24.3,0.09,BC339405,BrandE,SUP005,22-01-2022,31-12-2025,Germany,"Electronics, Durable",3-star,Rechargeable
P023,Water Bottle,C014,S001,815.88,320,0.5,Piece,,Stainless steel water bottle,4.1,23-01-2023,23-01-2025,100x50x50 cm,2.08,Blue,Plastic,6 months,No,23.29,7.39,BC935848,BrandA,SUP005,23-01-2022,31-12-2025,Japan,"Electronics, Durable",5-star,Rechargeable
P024,Smartphone,C020,S004,938.63,298,,Litre,S,Feature-packed smartphone,4,24-01-2023,24-01-2025,10x10x10 cm,3.52,Blue,Plastic,1 year,Yes,19.37,2.11,BC726376,BrandD,SUP004,24-01-2022,,Japan,"Comfortable, Stylish",3-star,Noise-cancelling
P025,Tablet,C012,S002,939.45,334,2,Piece,M,High-performance tablet,4.2,25-01-2023,25-01-2025,50x30x10 cm,1.61,Red,Metal,,Yes,25.71,9.86,BC618839,BrandB,SUP006,25-01-2022,31-12-2025,China,"Organic, Fresh",,Waterproof
P026,Headphones,C005,S013,292.67,321,2,Litre,L,Noise-cancelling headphones,3.7,26-01-2023,26-01-2025,50x30x10 cm,3.83,Red,Metal,6 months,Yes,21.52,5,BC837492,BrandB,SUP001,26-01-2022,,China,"Comfortable, Stylish",5-star,Rechargeable
P027,Printer,C002,S001,850.71,499,0.5,Kg,S,Multi-functional printer,4.4,27-01-2023,27-01-2025,20x15x5 cm,0.67,Red,Plastic,6 months,No,6.03,7.87,BC628749,BrandA,SUP001,27-01-2022,,India,"Electronics, Durable",5-star,Bluetooth-enabled
P028,Backpack,C016,S012,36.36,219,0.5,Pack,M,Spacious backpack,4,28-01-2023,28-01-2025,20x15x5 cm,9.15,Blue,Wood,1 year,Yes,17.98,0.05,BC544935,BrandD,SUP008,28-01-2022,31-12-2025,Germany,High-tech,4-star,Noise-cancelling
P029,Fitness Tracker,C011,S003,303.94,376,0.5,Piece,L,Advanced fitness tracker,3.2,29-01-2023,29-01-2025,50x30x10 cm,6.39,Blue,Metal,1 year,Yes,27.14,5.6,BC664544,BrandB,SUP006,29-01-2022,31-12-2025,Japan,"Comfortable, Stylish",,Waterproof
P030,TV,C020,S001,302.68,342,1,Litre,XL,Smart LED TV,3.3,30-01-2023,30-01-2025,50x30x10 cm,2.59,Red,Wood,1 year,Yes,12.53,9.15,BC204086,BrandB,SUP005,30-01-2022,31-12-2025,USA,"Comfortable, Stylish",3-star,Foldable
